scenario,metric,value,unit,source
baseline,latency_avg_ms,0.098,ms,results/baseline/latency_1773927696.log
baseline,latency_mdev_ms,0.02,ms,results/baseline/latency_1773927696.log
baseline,latency_avg_ms,0.266,ms,results/baseline/latency_1773927852.log
baseline,latency_mdev_ms,0.518,ms,results/baseline/latency_1773927852.log
baseline,latency_avg_ms,1342.576,ms,results/baseline/latency_1773926953.log
baseline,latency_mdev_ms,1442.006,ms,results/baseline/latency_1773926953.log
baseline,latency_avg_ms,0.557,ms,results/baseline/latency_1773390115.log
baseline,latency_mdev_ms,1.506,ms,results/baseline/latency_1773390115.log
baseline,latency_avg_ms,185.903,ms,results/baseline/latency_1773928007.log
baseline,latency_mdev_ms,127.214,ms,results/baseline/latency_1773928007.log
baseline,latency_avg_ms,0.13,ms,results/baseline/latency_1773927541.log
baseline,latency_mdev_ms,0.052,ms,results/baseline/latency_1773927541.log
baseline,latency_avg_ms,98.874,ms,results/baseline/latency_1773927383.log
baseline,latency_mdev_ms,102.411,ms,results/baseline/latency_1773927383.log
baseline,throughput_mbps,782.0,Mbps,results/baseline/throughput_1773927931.log
baseline,throughput_mbps,16.6,Mbps,results/baseline/throughput_1773927037.log
baseline,throughput_mbps,35.5,Mbps,results/baseline/throughput_1773927463.log
baseline,throughput_mbps,35.3,Mbps,results/baseline/throughput_1773928087.log
baseline,throughput_mbps,727.0,Mbps,results/baseline/throughput_1773390194.log
baseline,throughput_mbps,787.0,Mbps,results/baseline/throughput_1773927621.log
baseline,throughput_mbps,769.0,Mbps,results/baseline/throughput_1773927776.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773389995.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773927403.log
baseline,jitter_ms,0.01,ms,results/baseline/jitter_1773927403.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773389260.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773927871.log
baseline,jitter_ms,0.012,ms,results/baseline/jitter_1773927871.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773389410.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773389886.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773388424.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773389574.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773388571.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773927716.log
baseline,jitter_ms,0.029,ms,results/baseline/jitter_1773927716.log
baseline,udp_bw_mbps,0.987,Mbps,results/baseline/jitter_1773926977.log
baseline,jitter_ms,0.022,ms,results/baseline/jitter_1773926977.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773927561.log
baseline,jitter_ms,0.021,ms,results/baseline/jitter_1773927561.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773928026.log
baseline,jitter_ms,0.08,ms,results/baseline/jitter_1773928026.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773388822.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773388968.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773390134.log
baseline,jitter_ms,0.011,ms,results/baseline/jitter_1773390134.log
baseline,udp_bw_mbps,1.0,Mbps,results/baseline/jitter_1773389735.log
sdnv,latency_avg_ms,0.119,ms,results/sdnv/latency_1773390389.log
sdnv,latency_mdev_ms,0.031,ms,results/sdnv/latency_1773390389.log
sdnv,latency_avg_ms,160.813,ms,results/sdnv/latency_1773928797.log
sdnv,latency_mdev_ms,132.366,ms,results/sdnv/latency_1773928797.log
sdnv,latency_avg_ms,801.001,ms,results/sdnv/latency_1773928479.log
sdnv,latency_mdev_ms,758.088,ms,results/sdnv/latency_1773928479.log
sdnv,latency_avg_ms,0.22,ms,results/sdnv/latency_1773928639.log
sdnv,latency_mdev_ms,0.436,ms,results/sdnv/latency_1773928639.log
sdnv,latency_avg_ms,93.056,ms,results/sdnv/latency_1773928164.log
sdnv,latency_mdev_ms,58.123,ms,results/sdnv/latency_1773928164.log
sdnv,latency_avg_ms,164.317,ms,results/sdnv/latency_1773928323.log
sdnv,latency_mdev_ms,97.526,ms,results/sdnv/latency_1773928323.log
sdnv,latency_avg_ms,0.327,ms,results/sdnv/latency_1773927122.log
sdnv,latency_mdev_ms,0.902,ms,results/sdnv/latency_1773927122.log
sdnv,throughput_mbps,0.947,Mbps,results/sdnv/throughput_1773928244.log
sdnv,throughput_mbps,0.946,Mbps,results/sdnv/throughput_1773928402.log
sdnv,throughput_mbps,0.956,Mbps,results/sdnv/throughput_1773927201.log
sdnv,throughput_mbps,0.948,Mbps,results/sdnv/throughput_1773928719.log
sdnv,throughput_mbps,0.955,Mbps,results/sdnv/throughput_1773390469.log
sdnv,throughput_mbps,0.952,Mbps,results/sdnv/throughput_1773928877.log
sdnv,throughput_mbps,0.953,Mbps,results/sdnv/throughput_1773928561.log
sdnv,udp_bw_mbps,1.0,Mbps,results/sdnv/jitter_1773928659.log
sdnv,jitter_ms,0.016,ms,results/sdnv/jitter_1773928659.log
sdnv,udp_bw_mbps,1.0,Mbps,results/sdnv/jitter_1773928817.log
sdnv,jitter_ms,0.016,ms,results/sdnv/jitter_1773928817.log
sdnv,udp_bw_mbps,1.0,Mbps,results/sdnv/jitter_1773390408.log
sdnv,jitter_ms,0.011,ms,results/sdnv/jitter_1773390408.log
sdnv,udp_bw_mbps,1.0,Mbps,results/sdnv/jitter_1773928184.log
sdnv,jitter_ms,0.009,ms,results/sdnv/jitter_1773928184.log
sdnv,udp_bw_mbps,1.0,Mbps,results/sdnv/jitter_1773928342.log
sdnv,jitter_ms,0.015,ms,results/sdnv/jitter_1773928342.log
sdnv,udp_bw_mbps,1.0,Mbps,results/sdnv/jitter_1773927141.log
sdnv,jitter_ms,0.034,ms,results/sdnv/jitter_1773927141.log
sdnv,udp_bw_mbps,1.03,Mbps,results/sdnv/jitter_1773928501.log
sdnv,jitter_ms,0.025,ms,results/sdnv/jitter_1773928501.log
