scenario,metric,mean,unit
baseline,latency_avg_ms,138.7276,ms
baseline,latency_mdev_ms,136.3114,ms
baseline,jitter_ms,0.0736,ms
baseline,udp_bw_mbps,10.0,mbps
baseline,throughput_mbps,533.58,mbps
baseline,emapt_50_ms,2.3642,ms
baseline,emapt_90_ms,2.6088,ms
baseline,emapt_100_ms,3.3032,ms
sdnv,latency_avg_ms,233.3868,ms
sdnv,latency_mdev_ms,179.0664,ms
sdnv,jitter_ms,0.034999999999999996,ms
sdnv,udp_bw_mbps,9.988,mbps
sdnv,throughput_mbps,13.82,mbps
sdnv,emapt_50_ms,3.6354,ms
sdnv,emapt_90_ms,6.198799999999999,ms
sdnv,emapt_100_ms,11.145999999999999,ms
derived,traffic_suppression_eff,0.8174382292293247,ratio
derived,priority_ratio_baseline,0.13059089127300372,ratio
derived,priority_ratio_sdnv,0.7233384771257112,ratio
derived,policy_reaction_s,0.1221176,s
