vehicles,run,latency_avg_ms_baseline,latency_avg_ms_sdnv,jitter_ms_baseline,jitter_ms_sdnv,udp_bw_mbps_baseline,udp_bw_mbps_sdnv,throughput_mbps_baseline,throughput_mbps_sdnv,emapt_50_ms_baseline,emapt_50_ms_sdnv,emapt_90_ms_baseline,emapt_90_ms_sdnv,emapt_100_ms_baseline,emapt_100_ms_sdnv
5,1,801.976,0.125,0.082,0.03,9.23,10.0,16.4,14.0,13.258,10.794,13.522,15.434,14.71,15.489
5,2,1.217,609.943,0.019,0.025,10.0,10.1,458.0,13.8,1034.2,2.825,1039.214,2.956,1044.233,4.574
5,3,405.555,0.153,0.006,0.474,10.0,10.0,34.7,14.0,1056.078,1028.03,1057.125,1032.33,1058.615,1033.094
5,4,0.123,0.852,0.019,0.263,9.99,10.0,589.0,13.9,1042.318,2.94,1047.661,2.94,2062.083,3.093
5,5,437.177,460.591,0.084,0.036,10.1,10.0,34.9,13.9,14.856,2.582,15.294,2.623,1044.836,2.64
10,1,1.023,1026.552,0.004,0.768,10.0,10.0,336.0,13.8,2062.878,1037.067,2082.462,1046.124,2086.466,2033.876
10,2,0.939,3.964,0.035,0.012,10.0,10.0,368.0,14.0,1065.124,1034.147,1084.134,1038.352,1086.235,1038.8
10,3,2.551,6.737,0.017,0.005,9.99,10.0,355.0,14.0,2103.645,1034.648,2113.037,1042.44,2113.561,1050.458
10,4,1988.81,1716.319,0.596,0.098,10.2,10.0,32.5,13.8,1082.0,1035.882,1090.344,1041.765,1098.049,1042.012
10,5,2.286,3.465,0.02,0.017,9.99,10.0,363.0,14.1,2061.943,1026.385,2083.415,1037.601,2093.853,1042.488
15,1,18.0,1519.669,0.037,1.483,9.99,9.94,247.0,13.2,21.891,14.835,34.074,30.628,45.344,1037.744
15,2,1244.963,20.179,0.303,0.018,9.97,10.0,33.6,14.0,21.978,59.538,33.854,88.942,58.92,108.797
15,3,1898.57,714.949,0.054,0.027,10.2,10.1,31.3,13.9,23.929,15.881,42.762,24.93,44.789,27.421
15,4,1627.148,23.361,0.026,0.071,9.9,9.82,34.5,14.0,18.346,2089.769,26.236,2099.147,34.078,2109.888
15,5,12.679,13.761,0.023,0.228,9.91,9.99,255.0,13.9,19.984,25.862,33.277,57.076,43.353,76.888
20,1,74.376,36.644,0.034,0.06,9.87,9.84,184.0,13.9,19.086,10.545,19.494,15.121,19.62,18.544
20,2,54.084,2713.203,0.041,0.896,9.95,10.1,223.0,13.7,23.143,15.901,37.94,114.921,46.126,1011.443
20,3,39.26,45.099,0.013,0.579,9.87,9.84,143.0,13.9,18.67,11.022,26.613,23.57,30.678,31.43
20,4,28.043,55.871,0.024,0.019,9.92,9.93,195.0,13.8,28.712,12.651,47.397,46.912,68.686,52.034
20,5,2134.206,66.26,0.489,0.107,10.2,9.88,31.3,14.0,35.979,10.312,52.649,17.334,59.709,26.475
