vehicles,run,latency_avg_ms_baseline,latency_avg_ms_sdnv,jitter_ms_baseline,jitter_ms_sdnv,udp_bw_mbps_baseline,udp_bw_mbps_sdnv,throughput_mbps_baseline,throughput_mbps_sdnv,emapt_50_ms_baseline,emapt_50_ms_sdnv,emapt_90_ms_baseline,emapt_90_ms_sdnv,emapt_100_ms_baseline,emapt_100_ms_sdnv
5,1,4.318,3.161,2.08,2.455,9.98,9.68,19.0,21.9,2.57,13.013,8.881,13.38,16.026,23.736
5,2,306.528,4.131,1.038,0.833,10.0,9.7,8.36,21.6,6.125,10.864,8.201,55.011,13.212,398.049
5,3,208.802,240.22,0.54,0.187,10.0,10.0,8.85,12.5,3.007,11.56,17.481,12.653,169.21,43.632
5,4,3.539,3.894,1.065,2.642,9.99,9.68,18.3,22.5,7.24,3.535,8.317,12.228,720.17,21.801
5,5,4.157,2.952,0.778,1.289,10.0,9.67,19.3,21.6,2.916,5.787,5.06,23.86,70.061,190.28
10,1,4.009,3.131,1.225,2.529,9.99,9.69,19.3,21.9,28.469,11.981,268.314,200.214,290.251,201.459
10,2,4.6,5.354,0.584,1.431,9.99,9.36,18.3,20.6,41.728,25.64,60.073,91.088,1023.122,101.406
10,3,4.607,267.764,0.783,2.628,9.99,9.99,18.2,12.6,68.227,19.24,90.323,25.587,93.282,1042.958
10,4,4.908,4.553,0.929,1.747,9.99,9.77,18.8,22.5,16.321,7.602,213.622,39.728,219.656,48.48
10,5,4.91,4.556,1.085,1.242,9.99,9.74,17.6,22.0,32.873,31.503,185.736,279.555,186.124,1227.492
15,1,7.075,768.683,0.795,0.103,9.97,10.0,17.4,7.01,36.368,20.309,68.76,543.651,1030.33,581.676
15,2,6.578,405.579,2.047,1.74,9.99,9.93,18.4,10.5,24.7,17.034,1676.65,101.085,1798.891,1046.188
15,3,7.138,398.264,1.3,0.714,9.99,9.99,17.7,8.36,12.645,25.709,49.962,1123.083,1020.661,1141.696
15,4,6.874,308.511,0.712,1.536,9.98,9.99,17.7,10.3,92.66,27.846,117.859,149.064,1113.827,1242.387
15,5,323.561,6.678,0.756,1.697,10.0,9.32,7.76,21.0,25.551,78.657,53.185,139.182,1047.497,146.233
20,1,530.36,8.981,0.917,2.504,10.0,9.46,8.07,20.6,24.424,38.683,2945.885,1060.698,2963.935,1070.509
20,2,7.271,421.839,0.864,0.344,9.99,10.0,17.4,6.43,31.53,56.777,74.567,126.285,1071.564,1084.433
20,3,351.24,7.717,1.088,1.678,10.0,9.46,8.63,20.8,94.533,43.261,116.433,110.277,132.211,121.853
20,4,6.994,311.258,1.123,2.294,9.98,9.98,17.9,10.4,10.272,16.163,308.46,721.069,331.144,750.345
20,5,8.049,8.144,1.875,1.817,9.99,9.53,17.9,20.8,38.31,17.583,1068.639,42.024,1086.894,1056.95
