vehicles,run,emergency_latency_avg_ms_baseline,emergency_latency_avg_ms_sdnv,background_latency_avg_ms_baseline,background_latency_avg_ms_sdnv,udp_bw_mbps_baseline,udp_bw_mbps_sdnv,throughput_mbps_baseline,throughput_mbps_sdnv,policy_reaction_ms_sdnv,priority_enforcement_ratio_sdnv,emapt_50_ms_baseline,emapt_50_ms_sdnv,emapt_90_ms_baseline,emapt_90_ms_sdnv,emapt_100_ms_baseline,emapt_100_ms_sdnv
5,1,1.829,1.714,1.639,4.65,10.0,9.92,24.5,25.0,208.284,0.3968,3.667,2.498,10.474,8.566,140.015,49.608
5,2,334.987,302.143,344.644,305.366,10.0,10.0,9.55,13.7,219.471,0.7299270072992701,3.384,8.615,4.756,8.649,23.314,20.359
5,3,2.699,1.618,2.169,2.831,10.0,9.94,25.0,25.8,286.874,0.38527131782945734,2.457,7.172,3.148,11.625,6.407,64.447
5,4,1.799,2.406,2.122,4.633,10.0,9.9,24.8,25.0,287.62100000000004,0.396,2.944,3.669,5.653,4.125,7.797,4.284
5,5,2.315,189.916,2.009,190.096,10.0,10.0,24.9,16.2,433.927,0.617283950617284,3.988,2.477,4.064,5.775,81.435,19.283
10,1,2.724,287.37,1.729,296.407,10.0,9.99,25.1,11.9,203.05100000000002,0.8394957983193277,7.772,10.526,24.699,300.956,1022.017,308.013
10,2,756.076,1.464,739.311,3.912,10.1,9.95,7.22,25.3,335.955,0.39328063241106714,13.931,8.092,145.869,215.416,163.281,217.799
10,3,2.487,2.508,2.097,2.594,10.0,9.96,25.1,25.4,234.783,0.39212598425196854,5.386,3.264,124.956,422.322,132.97,430.625
10,4,200.506,1.747,200.234,2.924,10.0,9.95,10.9,25.6,227.259,0.38867187499999994,4.91,10.988,76.843,132.592,83.236,134.263
10,5,3.212,2.892,2.458,4.142,10.0,9.87,24.2,25.1,233.19699999999997,0.3932270916334661,10.705,11.011,1031.426,1030.719,1040.77,1042.974
15,1,4.155,1.975,3.768,3.462,10.0,9.96,23.6,25.4,243.56,0.39212598425196854,13.493,29.14,112.33,62.49,118.084,1038.729
15,2,212.39,327.234,212.641,331.686,10.0,10.0,10.7,11.9,216.76899999999998,0.8403361344537815,10.643,42.53,14.282,139.249,1034.494,142.543
15,3,2.894,366.589,2.752,369.262,10.0,9.99,24.7,13.0,214.372,0.7684615384615385,10.094,23.688,91.407,1614.401,98.486,1675.087
15,4,,1.681,,3.013,10.2,9.96,2.42,25.1,215.118,0.39681274900398406,101.364,12.944,114.843,21.919,1102.54,1035.017
15,5,2.715,308.198,3.505,309.132,10.0,10.0,24.3,12.9,222.456,0.7751937984496123,24.014,14.883,111.491,24.25,1152.315,1023.537
20,1,4.069,2.835,3.703,3.761,10.0,9.95,24.5,25.3,288.578,0.39328063241106714,14.38,26.643,342.648,206.397,350.475,217.296
20,2,4.886,2.37,4.736,3.656,10.0,9.97,24.0,25.5,224.683,0.39098039215686275,20.355,16.416,47.102,1026.045,1027.839,1172.105
20,3,374.598,,376.522,,10.0,9.99,10.1,2.91,277.113,3.4329896907216493,31.49,22.732,1030.2,1056.934,1089.539,1082.334
20,4,3.122,2.372,4.131,3.808,10.0,9.97,23.9,25.7,212.499,0.3879377431906615,1051.914,17.529,1081.022,247.595,1083.907,257.243
20,5,358.454,358.864,365.328,353.701,10.0,10.0,7.5,9.22,199.263,1.0845986984815617,11.478,13.384,1050.062,1025.961,1067.174,1033.708
