vehicles,run,emergency_latency_avg_ms_baseline,emergency_latency_avg_ms_sdnv,background_latency_avg_ms_baseline,background_latency_avg_ms_sdnv,udp_bw_mbps_baseline,udp_bw_mbps_sdnv,throughput_mbps_baseline,throughput_mbps_sdnv,policy_reaction_ms_sdnv,priority_enforcement_ratio_sdnv,emapt_50_ms_baseline,emapt_50_ms_sdnv,emapt_90_ms_baseline,emapt_90_ms_sdnv,emapt_100_ms_baseline,emapt_100_ms_sdnv
2,1,107.453,0.63,107.955,20.095,10.0,10.0,15.0,1.86,229.536,5.376344086021505,3.314,13.438,3.314,13.438,3.314,13.438
2,2,2.204,0.511,1.806,24.162,10.0,10.0,25.4,1.86,378.321,5.376344086021505,4.284,16.615,4.284,16.615,4.284,16.615
2,3,2.296,1.29,3.059,21.954,10.0,10.0,25.0,1.85,318.39099999999996,5.405405405405405,3.398,128.698,3.398,128.698,3.398,128.698
2,4,100.368,17.699,99.767,57.292,10.0,10.0,14.6,1.81,418.19,5.524861878453039,11.755,17.918,11.755,17.918,11.755,17.918
2,5,3.39,,2.973,,10.0,10.1,22.8,1.4,270.1,7.214285714285714,2.812,14.595,2.812,14.595,2.812,14.595
4,1,142.347,1.164,141.692,21.75,10.0,10.0,15.1,1.87,296.27500000000003,5.347593582887701,1.342,51.984,21.23,58.15,21.646,63.273
4,2,1.911,0.835,2.335,27.577,10.0,10.0,25.1,1.86,278.411,5.376344086021505,2.03,3.994,5.659,9.929,10.232,12.462
4,3,142.442,23.011,144.368,54.883,10.0,10.0,13.9,1.75,348.15299999999996,5.714285714285714,9.541,12.032,14.139,14.945,1023.013,20.803
4,4,2.077,27.659,1.875,63.03,10.0,10.0,25.2,1.74,269.743,5.747126436781609,4.05,14.417,1019.06,18.12,1024.298,19.535
4,5,123.659,0.921,124.102,22.168,10.0,10.0,14.3,1.87,246.184,5.347593582887701,9.284,0.833,9.284,2.003,9.343,2.313
6,1,3.085,24.762,2.051,64.125,10.0,10.0,24.6,1.72,296.416,5.813953488372093,2.522,27.392,17.468,29.215,50.41,44.828
6,2,155.971,0.89,155.674,22.991,10.0,10.0,12.4,1.86,223.382,5.376344086021505,18.105,17.442,23.237,21.201,180.053,32.791
6,3,227.967,1.084,228.996,19.733,10.0,10.0,13.1,1.86,322.217,5.376344086021505,13.914,14.64,1013.558,18.214,1024.92,21.865
6,4,190.187,25.969,190.909,68.792,10.0,10.0,11.8,1.73,342.486,5.780346820809249,4.797,10.643,10.867,26.468,14.693,216.052
6,5,2.174,29.362,2.022,62.675,10.0,10.0,25.1,1.73,343.482,5.780346820809249,10.877,18.874,1038.114,26.535,1039.243,63.437
8,1,2.769,36.006,2.546,71.045,10.0,10.0,24.7,1.71,355.23,5.847953216374269,14.602,43.951,17.848,58.091,1036.157,124.968
8,2,163.655,0.945,163.853,27.125,10.0,10.0,15.4,1.86,213.74599999999998,5.376344086021505,9.802,51.125,19.568,65.032,28.701,1064.684
8,3,2.142,72.763,2.09,100.874,10.0,10.0,25.3,1.48,404.445,6.756756756756757,6.445,43.467,13.234,61.929,15.822,2053.347
8,4,169.054,32.479,168.773,67.521,10.0,10.0,14.0,1.71,377.351,5.847953216374269,7.012,20.683,13.789,27.178,1043.933,71.95
8,5,2.0,31.799,2.341,71.239,10.0,10.0,25.1,1.72,295.419,5.813953488372093,6.967,18.582,1012.096,30.11,1016.667,1037.81
10,1,2.389,1.2,2.536,28.229,10.0,10.0,24.3,1.86,339.76800000000003,5.376344086021505,10.211,13.345,48.987,1028.899,1023.941,1033.247
10,2,2.676,0.812,2.74,29.613,10.0,10.0,24.4,1.86,247.202,5.376344086021505,19.488,16.623,39.603,126.45,1029.176,147.825
10,3,3.087,1.115,2.56,19.745,10.0,10.0,23.9,1.86,208.003,5.376344086021505,13.081,18.671,1019.745,24.944,1026.163,28.199
10,4,1.89,0.766,2.193,20.468,10.0,10.0,24.7,1.87,279.087,5.347593582887701,9.783,13.125,17.469,1052.16,20.993,1060.627
10,5,2.379,37.721,2.483,72.162,10.0,10.0,25.1,1.68,309.074,5.9523809523809526,1043.0,9.204,1053.86,1025.468,1055.511,1037.134
