scenario,metric,unit,n,mean,std,ci95
baseline,jitter_ms,ms,7,0.026428571428571433,0.02463640357179556,0.01825090317399845
baseline,latency_avg_ms,ms,7,232.62914285714288,494.6433883490976,366.4369501055358
baseline,latency_mdev_ms,ms,7,239.10385714285715,533.2073825309213,395.005556792141
baseline,throughput_mbps,Mbps,7,450.34285714285716,394.52589208290186,292.2688709436341
baseline,udp_bw_mbps,Mbps,17,0.9992352941176472,0.0031529631254723313,0.0014988235294117658
sdnv,jitter_ms,ms,7,0.018,0.008679477710861026,0.006429847069202606
sdnv,latency_avg_ms,ms,7,174.2647142857143,285.9329040087985,211.8220595841796
sdnv,latency_mdev_ms,ms,7,149.63885714285718,273.3636982717521,202.51066166798694
sdnv,throughput_mbps,Mbps,7,0.951,0.0040000000000000036,0.0029632414683923437
sdnv,udp_bw_mbps,Mbps,7,1.0042857142857142,0.011338934190276826,0.008400000000000006
