scenario,metric,unit,n,mean,std,ci95
baseline,jitter_ms,ms,5,0.0304,0.02874543442009531,0.02519648419918938
baseline,latency_avg_ms,ms,5,57.054199999999994,83.75586823739575,73.41525543818628
baseline,latency_mdev_ms,ms,5,46.043,63.38749265430838,55.56158705933443
baseline,throughput_mbps,Mbps,5,481.76000000000005,407.5220398947767,357.20881754536794
baseline,udp_bw_mbps,Mbps,5,1.0,0.0,0.0
sdnv,jitter_ms,ms,5,0.0162,0.00571839138219832,0.005012391046197414
sdnv,latency_avg_ms,ms,5,243.88140000000004,318.4855886320447,279.16492700583217
sdnv,latency_mdev_ms,ms,5,209.3078,310.6683086093591,272.31277895012073
sdnv,throughput_mbps,Mbps,5,0.9491999999999999,0.0031144823004794903,0.00272996410232809
sdnv,udp_bw_mbps,Mbps,5,1.006,0.01341640786499875,0.01176000000000001
